age,gender,lifetime_usage_months,music_output,spotify_subscription_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_recommendation_rating,podcast_variety_satisfaction,premium_sub_interested,sub_retention,preferred_plan_type,preferred_plan_cost,music_listening_frequency_grouped,music_exploration_method_grouped,favorite_podcast_genre_grouped
1,0,2,2,0,1,4,2,8,3,3,1,0,1,179.0,0,10,1
0,1,2,0,0,1,7,0,10,2,4,1,0,2,119.0,31,10,1
2,2,3,2,0,1,6,2,0,4,4,1,0,3,59.0,26,10,7
1,0,1,1,0,0,4,2,3,4,3,0,0,4,,7,13,11
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,0,13,4
1,1,2,3,0,0,6,2,11,3,3,0,0,4,,31,0,11
1,0,1,3,0,0,4,1,0,3,3,0,0,4,,16,16,11
1,0,0,3,0,0,4,2,10,5,4,0,0,4,,0,16,4
1,0,0,3,0,0,4,0,4,4,4,1,0,2,119.0,12,11,1
1,0,2,3,0,0,4,2,0,4,3,0,0,4,,21,16,11
1,0,2,3,0,0,4,0,4,3,4,0,0,4,,12,10,4
1,0,1,3,0,0,4,2,4,3,3,0,0,4,,12,13,1
1,0,1,1,0,0,4,1,0,3,3,0,0,4,,16,10,4
1,0,2,3,0,0,4,2,6,1,3,0,0,4,,20,7,1
1,0,2,3,0,0,6,1,0,5,5,1,0,4,,16,13,4
1,0,2,3,0,0,6,0,4,2,1,0,0,4,,5,0,11
1,0,0,3,0,0,4,0,0,1,4,1,0,2,119.0,12,11,1
1,0,0,3,0,0,4,2,10,4,3,0,0,4,,24,16,11
1,0,2,3,0,0,4,2,0,3,3,0,0,4,,0,16,11
1,0,1,3,0,0,4,2,8,4,3,1,0,2,119.0,12,16,11
1,0,1,3,0,0,4,2,1,4,3,0,0,4,,12,13,11
1,1,2,3,0,0,1,1,0,5,3,1,0,2,119.0,16,16,11
1,0,0,3,0,0,4,2,0,4,4,0,0,4,,29,16,1
1,0,2,1,1,0,9,2,6,1,5,1,1,2,119.0,13,12,1
1,1,2,1,1,0,8,2,1,3,3,1,1,1,179.0,25,15,4
1,0,1,3,0,0,6,2,0,4,3,0,0,4,,13,0,11
0,1,3,1,1,1,7,1,0,4,4,1,1,3,59.0,21,16,4
2,1,0,3,0,0,5,2,0,1,1,0,0,4,,0,16,11
1,0,0,3,0,0,6,2,0,4,3,0,0,4,,20,16,11
1,0,3,1,0,1,4,2,4,3,4,0,0,4,,8,16,1
1,0,3,3,0,0,4,1,0,4,4,0,0,4,,29,10,4
1,1,1,3,0,0,6,2,0,5,4,0,0,4,,16,10,1
0,1,2,3,0,0,6,2,11,3,3,0,0,4,,31,13,11
0,1,2,3,0,0,6,2,0,3,3,1,0,4,,29,16,1
1,0,0,3,0,0,4,2,6,4,3,0,0,4,,12,10,1
0,1,1,3,0,0,7,2,11,1,3,0,0,4,,31,0,11
1,0,2,1,0,0,6,1,11,3,3,0,0,4,,5,12,0
1,0,2,1,0,0,4,2,3,3,4,1,0,2,119.0,13,13,1
0,0,2,3,0,0,4,2,0,4,4,0,0,4,,12,16,1
0,0,2,1,0,0,6,2,4,3,3,0,0,4,,8,10,11
0,0,2,3,0,0,4,2,0,4,3,0,0,4,,12,4,1
0,1,1,3,0,0,6,2,0,3,3,0,0,4,,30,10,11
0,0,2,3,0,0,6,2,11,4,5,1,0,3,59.0,11,13,1
0,1,1,1,0,0,9,0,7,5,5,0,0,4,,13,7,4
1,0,0,3,0,0,4,2,1,5,4,0,0,4,,20,13,1
1,1,1,3,0,0,4,2,0,5,3,0,0,4,,12,10,11
0,1,1,3,0,1,9,0,8,3,3,0,0,4,,30,0,4
2,1,1,1,0,1,4,1,8,4,4,1,0,3,59.0,13,13,3
1,0,0,1,0,0,4,1,0,3,3,0,0,4,,12,13,1
1,1,1,1,1,0,2,2,5,4,5,1,1,2,119.0,13,16,1
1,1,2,1,0,0,4,2,0,3,2,0,0,4,,12,11,4
0,0,1,2,0,0,6,2,0,4,3,0,0,4,,0,0,1
1,1,0,3,0,0,7,2,1,4,3,1,0,2,119.0,16,0,11
1,0,1,3,0,1,4,2,4,4,5,0,0,4,,13,13,4
1,0,2,1,0,0,6,2,3,3,4,0,0,4,,5,15,4
0,0,2,3,0,0,0,1,4,5,3,0,0,4,,14,10,11
1,1,0,3,0,0,9,0,0,3,3,0,0,4,,12,10,4
1,0,3,3,0,0,4,2,0,4,4,0,0,4,,29,10,1
1,0,2,1,0,0,6,1,0,4,4,0,0,4,,30,13,1
1,1,2,1,1,0,6,2,6,5,4,1,1,1,179.0,13,13,11
1,1,2,3,0,0,9,2,5,4,4,1,0,4,,12,16,7
1,1,0,3,0,0,6,2,11,3,3,0,0,4,,0,0,11
1,1,0,3,0,0,4,0,7,3,3,0,0,4,,12,0,7
1,0,0,3,0,0,4,2,0,3,4,0,0,4,,0,10,4
0,1,0,0,0,0,7,0,0,3,3,0,0,4,,12,16,11
1,1,3,3,0,0,4,2,1,3,3,0,0,4,,0,7,11
1,1,2,1,1,0,4,2,7,5,5,1,1,2,119.0,13,13,1
1,1,2,1,1,0,4,2,4,4,4,1,1,2,119.0,16,13,1
1,0,0,3,0,0,4,2,6,4,3,0,0,4,,12,10,3
1,0,1,1,0,0,4,0,0,5,3,1,0,2,119.0,0,16,11
1,0,1,1,0,0,4,2,0,5,4,0,0,4,,21,10,4
1,0,0,3,0,0,2,0,11,3,3,0,0,4,,29,10,11
1,0,2,3,0,0,4,2,1,5,5,0,0,4,,0,13,4
1,0,0,1,0,0,4,1,10,2,3,0,0,4,,5,0,1
0,0,3,0,1,1,4,0,11,2,3,0,0,4,,29,14,4
1,2,1,2,1,1,7,0,12,4,4,1,1,3,59.0,13,0,3
1,0,2,4,0,1,7,2,8,2,5,1,0,0,149.0,25,16,4
2,1,1,0,0,1,6,0,10,5,3,1,0,2,119.0,31,14,1
0,0,1,0,0,1,4,0,8,3,5,1,0,2,119.0,29,14,4
0,0,1,0,0,1,9,0,11,3,4,1,0,0,149.0,25,14,4
1,0,3,3,0,0,4,0,0,4,3,0,0,4,,0,0,11
0,0,0,3,0,1,7,1,0,3,3,1,0,0,149.0,25,14,3
2,1,0,3,0,1,9,2,0,4,4,0,0,4,,0,16,1
0,2,3,0,0,0,4,1,11,3,4,1,0,2,119.0,29,14,4
1,0,1,3,0,0,4,2,0,3,3,0,0,4,,0,10,1
1,1,3,0,0,1,7,1,8,3,5,1,0,0,149.0,29,10,7
0,1,3,0,0,1,7,0,11,3,3,0,0,4,,25,0,7
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,12,16,11
1,0,0,3,0,1,2,2,0,5,5,1,0,2,119.0,16,10,1
2,2,2,2,0,1,9,1,11,4,4,0,0,4,,29,16,4
1,0,2,3,0,0,4,2,6,5,4,1,0,2,119.0,1,4,1
1,0,0,3,1,0,9,2,0,3,4,1,1,2,119.0,16,10,4
1,0,0,3,0,0,4,2,0,3,3,0,0,4,,0,16,11
0,0,2,3,0,0,4,1,6,4,5,0,0,4,,13,13,1
1,0,2,1,0,0,4,1,6,3,3,0,0,4,,12,13,3
1,1,2,3,0,0,7,2,4,3,3,0,0,4,,16,10,5
1,1,1,3,0,0,4,2,0,3,3,0,0,4,,0,10,7
1,0,3,1,0,0,4,2,5,3,3,0,0,4,,13,16,11
1,0,2,3,1,0,6,2,6,5,4,1,1,2,119.0,13,13,1
1,0,2,1,1,0,6,2,3,3,3,1,1,2,119.0,0,16,11
1,1,2,3,1,0,6,2,6,5,5,1,1,2,119.0,6,12,11
1,0,0,3,0,0,4,2,0,4,3,0,0,3,59.0,29,10,11
1,0,0,3,0,0,6,0,0,4,4,0,0,4,,16,16,4
1,1,0,3,0,0,9,2,0,4,3,0,0,4,,0,16,11
1,0,2,1,0,0,4,1,1,3,3,0,0,4,,12,13,11
1,0,0,3,0,0,4,2,8,4,4,0,0,4,,0,10,11
1,1,2,1,0,0,6,1,5,4,3,0,0,4,,20,16,11
1,0,2,3,0,0,4,2,4,4,3,0,0,4,,10,0,11
1,0,0,3,0,0,6,2,0,3,3,0,0,4,,0,16,1
1,0,2,1,1,0,6,2,0,5,5,1,1,0,149.0,12,13,4
1,1,0,3,0,0,4,2,0,4,3,0,0,4,,29,10,11
1,0,0,3,0,0,4,2,4,4,3,0,0,4,,29,13,11
1,0,2,3,0,0,4,2,0,5,3,0,0,4,,29,16,11
1,0,1,3,0,0,3,2,0,5,5,0,0,4,,21,13,1
1,0,0,3,0,0,4,2,4,4,3,0,0,4,,12,16,11
1,0,1,3,0,0,4,2,4,4,4,0,0,4,,13,10,4
1,1,2,3,1,0,9,2,0,1,3,0,0,4,,0,16,11
1,1,2,1,1,0,0,2,7,2,3,0,0,4,,4,12,5
1,0,2,3,0,0,4,2,0,4,3,0,0,4,,12,16,4
1,0,0,3,0,0,4,1,4,1,2,0,0,4,,0,10,4
1,0,3,3,0,0,4,2,6,5,3,0,0,4,,5,13,11
1,1,2,1,0,0,6,2,2,3,3,1,0,0,149.0,12,0,1
1,0,1,3,0,0,6,2,11,4,4,0,0,4,,12,13,1
1,0,2,3,0,1,4,2,4,4,4,0,0,4,,14,13,4
1,0,1,3,0,0,4,2,1,4,3,1,0,2,119.0,2,13,11
1,0,3,3,0,1,4,1,0,3,2,0,0,4,,12,16,4
0,0,0,3,0,0,4,1,0,4,4,0,0,4,,29,16,4
1,0,3,3,0,0,4,2,1,4,3,1,0,3,59.0,29,7,11
1,0,0,3,0,0,6,2,0,4,4,0,0,4,,0,16,1
1,0,2,1,0,0,4,2,5,3,4,0,0,4,,12,4,4
1,0,2,1,0,0,2,2,6,4,3,0,0,4,,13,4,4
1,0,0,3,0,0,4,2,4,3,3,0,0,4,,12,16,11
1,1,1,1,0,0,7,2,4,4,3,0,0,4,,0,16,11
1,0,0,4,0,0,4,1,0,3,3,0,0,4,,0,7,11
1,1,3,1,0,0,4,2,4,5,3,1,0,3,59.0,13,12,11
1,1,2,1,0,1,7,2,4,5,4,0,0,4,,30,13,4
2,1,2,3,0,0,4,2,11,4,3,1,0,2,119.0,13,10,11
1,0,0,3,0,0,4,2,0,4,5,0,0,4,,0,16,3
1,1,2,1,0,0,8,2,0,3,3,0,0,4,,0,10,11
1,0,3,3,0,0,6,2,0,4,4,0,0,4,,12,16,4
1,1,1,1,1,0,4,2,0,5,4,1,1,1,179.0,29,10,4
2,0,0,3,0,1,9,2,0,4,4,0,0,4,,0,16,4
1,0,0,3,0,1,4,2,0,4,4,0,0,4,,0,5,4
1,0,2,3,1,0,4,2,2,3,5,1,1,2,119.0,13,5,4
1,0,0,3,0,0,6,2,0,3,3,0,0,4,,14,16,1
1,1,2,3,0,0,6,2,0,5,4,0,0,4,,29,16,1
0,1,2,3,1,0,4,0,0,3,3,0,0,4,,12,16,1
1,1,1,1,0,0,4,0,0,5,3,0,0,4,,5,13,11
1,0,0,3,0,0,2,2,0,4,3,0,0,4,,0,0,7
1,0,1,3,0,0,6,2,0,5,5,0,0,4,,13,10,1
1,0,2,1,0,0,9,2,6,4,3,0,0,4,,5,13,11
1,0,1,0,0,0,4,2,11,3,4,1,0,0,149.0,31,14,3
1,0,1,3,0,0,4,1,0,5,3,1,0,3,59.0,29,13,11
1,0,1,3,0,0,4,0,4,4,3,0,0,4,,0,16,3
1,1,2,3,1,1,6,2,11,3,5,1,1,1,179.0,25,16,7
1,0,3,3,0,0,4,2,0,4,3,0,0,4,,0,10,1
1,1,2,1,1,0,2,2,0,4,3,1,1,2,119.0,0,13,4
1,1,0,3,0,0,9,2,0,5,3,0,0,4,,29,16,7
1,1,2,3,0,0,4,2,0,4,3,0,0,4,,12,13,11
1,0,3,3,0,0,4,2,0,3,5,0,0,4,,30,10,4
1,1,1,1,0,0,4,2,4,4,4,0,0,4,,20,5,7
1,1,2,1,1,0,4,2,0,4,3,1,1,2,119.0,12,13,11
1,0,0,3,0,0,6,1,11,4,3,0,0,4,,30,13,4
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,0,10,1
1,0,3,3,0,0,4,2,2,5,5,0,0,4,,12,10,1
0,0,1,2,0,1,9,1,8,3,4,1,0,0,149.0,29,14,4
1,0,1,2,1,1,7,0,9,3,4,1,1,1,179.0,30,11,7
0,0,3,2,1,1,9,0,11,2,3,1,1,0,149.0,29,14,4
0,0,1,0,0,1,7,1,11,2,3,1,0,0,149.0,29,14,4
0,0,3,0,0,1,9,0,8,3,4,1,0,0,149.0,12,16,4
1,0,1,0,0,1,9,1,11,2,3,0,0,4,,29,5,4
1,0,1,1,0,1,9,1,11,2,3,0,0,4,,31,14,3
0,0,1,2,1,1,9,0,8,4,4,0,0,4,,26,1,4
3,0,3,2,1,1,9,1,11,2,3,1,1,0,149.0,26,11,4
1,0,2,1,0,1,9,1,11,2,3,1,0,1,179.0,31,14,4
2,1,3,0,0,1,4,1,8,3,2,0,0,4,,31,14,4
0,1,3,2,0,1,7,1,0,3,3,1,0,3,59.0,30,11,3
0,0,1,1,1,1,9,0,11,2,2,1,1,0,149.0,12,1,4
1,0,3,1,0,0,9,0,12,2,3,1,0,0,149.0,28,11,7
1,0,3,2,0,1,9,0,0,3,3,1,0,0,149.0,29,5,4
2,0,1,2,0,0,9,0,11,2,3,1,0,1,179.0,28,14,4
1,0,3,0,0,0,9,1,11,3,3,1,0,1,179.0,29,10,4
0,0,3,1,0,1,9,1,12,4,2,0,0,4,,31,0,7
2,2,2,4,1,0,2,1,11,2,4,1,1,1,179.0,28,2,4
1,0,3,0,0,1,7,1,11,2,2,0,0,4,,29,10,4
1,2,3,2,0,1,9,1,10,2,5,0,0,4,,29,16,4
2,0,3,2,1,0,4,2,10,2,3,0,0,4,,29,0,4
0,1,3,3,0,0,4,2,0,2,3,0,0,4,,0,10,11
2,1,3,3,0,0,4,2,11,4,4,0,0,4,,29,10,1
1,0,2,3,0,0,4,2,0,4,4,0,0,4,,29,11,1
1,1,0,3,0,0,10,2,0,3,3,0,0,4,,12,16,11
1,1,2,3,0,0,4,2,0,4,4,0,0,4,,13,16,4
2,0,1,3,0,0,4,1,0,5,3,0,0,4,,0,10,1
1,0,3,3,0,0,4,0,7,5,3,0,0,4,,29,13,1
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,12,16,11
2,0,2,3,1,0,4,2,0,5,4,1,1,0,149.0,0,10,3
1,0,1,3,0,0,2,2,0,5,4,0,0,4,,0,10,1
1,0,1,3,0,0,4,1,0,4,3,0,0,4,,29,10,4
1,0,3,3,0,0,6,2,11,4,3,1,0,3,59.0,12,11,11
1,1,1,3,0,0,4,2,0,3,4,0,0,4,,0,10,4
1,1,0,3,0,0,4,2,2,1,3,0,0,4,,20,13,11
1,0,1,3,0,0,6,2,4,3,3,0,0,4,,3,13,4
1,0,2,3,0,0,6,2,6,4,3,0,0,4,,13,4,11
1,0,0,3,1,0,4,2,1,5,4,1,1,4,,29,13,1
1,1,3,1,0,0,9,1,0,4,3,1,0,3,59.0,9,13,11
1,1,2,1,0,0,4,2,4,3,3,0,0,4,,12,13,1
1,1,1,3,0,0,4,0,5,4,3,0,0,4,,30,13,11
1,0,1,3,0,0,4,2,0,5,5,0,0,4,,0,10,1
1,0,2,3,0,0,4,2,3,5,4,0,0,4,,13,13,4
1,0,2,3,0,0,4,2,0,5,3,0,0,4,,29,10,4
1,1,2,1,0,0,9,2,7,4,4,0,0,4,,10,4,4
1,0,3,3,0,0,9,2,4,4,3,1,0,2,119.0,0,13,11
1,0,3,3,0,0,4,2,0,3,3,0,0,4,,0,10,11
1,0,0,3,0,0,4,2,0,5,5,1,0,3,59.0,26,10,1
1,1,2,3,0,0,4,2,6,5,2,0,0,4,,30,10,11
1,1,1,3,0,0,9,2,0,5,4,0,0,4,,21,10,11
1,0,3,3,0,0,4,2,0,3,3,0,0,4,,12,16,11
1,0,1,3,0,0,4,1,0,4,3,0,0,4,,29,0,11
1,0,2,0,0,0,4,2,0,5,4,0,0,4,,0,10,4
1,1,2,3,1,0,6,2,0,4,5,1,1,2,119.0,29,15,4
1,1,1,3,0,0,8,2,0,2,3,0,0,3,59.0,0,16,1
1,0,2,1,0,0,4,2,4,5,3,1,0,3,59.0,2,16,4
1,0,0,3,0,0,4,2,0,2,2,0,0,3,59.0,31,0,4
1,0,0,3,0,1,4,0,0,5,4,0,0,3,59.0,0,16,4
1,0,0,3,0,0,4,2,0,3,3,0,0,4,,0,16,3
1,0,2,3,0,0,4,2,1,5,3,1,0,2,119.0,12,13,11
1,0,1,3,0,0,4,2,0,3,3,0,0,3,59.0,29,10,11
1,0,1,3,0,0,7,0,4,4,4,0,0,1,179.0,29,0,11
1,1,2,3,0,0,4,1,0,3,1,0,0,2,119.0,22,0,11
1,1,1,3,0,0,6,2,0,4,3,0,0,3,59.0,29,16,11
1,1,1,3,0,0,4,1,0,4,4,0,0,4,,31,16,7
1,1,2,3,0,0,4,1,1,4,4,0,0,3,59.0,29,10,11
1,0,1,3,0,0,6,2,1,5,5,0,0,3,59.0,29,10,1
1,0,3,3,0,0,4,2,0,4,4,1,0,2,119.0,9,13,1
1,0,0,3,1,0,4,2,0,5,1,0,0,0,149.0,29,10,11
1,0,2,3,0,0,9,2,11,4,4,0,0,0,149.0,30,16,1
1,0,1,3,0,0,4,2,1,4,5,1,0,2,119.0,13,13,4
1,0,2,3,0,0,4,2,8,2,4,0,0,4,,0,10,11
1,0,2,1,0,0,0,2,11,5,4,1,0,0,149.0,0,13,5
1,0,3,3,0,0,4,0,0,5,3,0,0,4,,31,10,1
1,0,1,3,0,0,4,2,4,5,3,0,0,3,59.0,22,0,11
1,0,1,3,0,0,4,2,0,4,3,0,0,4,,29,16,1
1,0,3,3,0,0,4,2,0,4,4,0,0,2,119.0,29,16,1
1,0,2,3,1,0,6,2,1,5,3,1,1,2,119.0,12,13,4
0,1,3,3,0,0,9,2,10,3,1,0,0,3,59.0,0,10,11
0,1,3,3,0,0,9,2,10,3,1,0,0,3,59.0,0,7,11
1,0,2,3,1,0,4,2,0,3,4,1,1,3,59.0,29,16,4
1,0,2,3,0,0,4,2,0,5,4,0,0,0,149.0,25,10,1
1,1,3,1,0,0,6,2,0,5,5,0,0,4,,22,16,7
1,1,1,1,1,0,4,0,0,3,3,1,1,2,119.0,17,4,9
1,0,0,4,0,0,4,1,0,3,3,0,0,2,119.0,29,16,11
1,0,1,1,0,0,4,1,6,4,4,0,0,3,59.0,13,13,4
1,0,2,3,0,1,9,2,7,3,4,0,0,3,59.0,12,4,2
1,0,2,3,0,0,6,2,6,3,3,0,0,4,,4,11,4
1,1,2,3,0,0,0,2,7,5,3,0,0,0,149.0,23,7,11
1,0,1,3,0,0,6,1,12,3,3,0,0,3,59.0,21,16,11
1,0,1,3,0,0,4,1,0,4,4,1,0,2,119.0,31,10,4
1,0,1,1,0,0,4,2,3,4,3,0,0,2,119.0,13,1,11
1,1,3,3,0,0,7,1,0,4,3,0,0,2,119.0,16,16,11
1,0,2,3,0,0,6,1,0,3,3,0,0,0,149.0,29,10,4
0,1,2,1,1,0,6,2,5,3,4,1,1,1,179.0,4,4,1
