age,gender,lifetime_usage_months,music_output,spotify_subscription_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_influencial_mood,music_recommendation_rating,podcast_variety_satisfaction,premium_sub_interested,sub_retention,preferred_plan_type,preferred_plan_cost,music_listening_frequency_grouped,music_exploration_method_grouped,favorite_podcast_genre_grouped
1,0,3,3,0,0,4,2,5,2,1,0,0,3,59.0,13,13,11
1,0,2,3,0,0,2,2,2,5,5,0,0,4,,13,13,7
1,0,0,3,0,0,6,2,0,5,2,1,0,0,149.0,0,10,4
1,0,2,3,0,0,3,2,11,5,4,0,0,4,,11,0,6
1,0,3,3,0,0,4,2,0,5,4,0,0,3,59.0,26,16,11
1,0,1,1,0,0,4,0,7,3,4,0,0,3,59.0,13,0,1
1,0,2,3,0,0,4,0,0,3,4,0,0,4,,13,13,1
1,0,1,3,0,0,4,1,0,3,3,1,0,3,59.0,29,16,1
1,0,1,3,0,0,6,0,10,4,4,0,0,3,59.0,29,16,1
1,0,0,3,0,0,4,2,0,4,3,0,0,4,,12,10,1
1,0,2,1,0,0,4,2,6,3,3,0,0,4,,13,0,11
1,0,3,0,0,1,9,1,11,1,4,1,0,2,119.0,31,10,4
0,0,3,0,1,1,9,0,8,3,3,1,1,0,149.0,29,14,7
1,0,3,0,0,1,9,0,8,3,3,1,0,0,149.0,29,14,7
0,0,1,0,0,1,7,0,8,3,4,1,0,2,119.0,25,14,4
1,0,3,0,0,1,9,0,8,2,3,1,0,2,119.0,29,10,4
1,0,3,0,0,0,7,1,11,3,4,1,0,0,149.0,29,14,4
0,0,3,2,1,1,9,1,11,3,4,1,1,0,149.0,25,14,4
0,0,1,3,0,0,4,2,0,5,5,1,0,3,59.0,13,0,4
0,0,3,0,0,1,7,1,8,4,4,1,0,0,149.0,31,10,4
1,0,1,2,0,1,9,0,8,2,3,1,0,0,149.0,31,14,4
1,0,1,2,0,0,9,0,8,2,4,1,0,0,149.0,9,1,4
1,0,3,1,1,1,7,1,11,2,4,1,1,0,149.0,13,2,4
1,0,1,1,1,1,6,0,12,3,4,1,1,2,119.0,27,11,4
1,2,1,0,0,1,9,0,11,3,3,1,0,1,179.0,27,2,7
1,0,3,1,1,1,9,1,12,2,5,0,0,0,149.0,17,1,4
1,0,1,1,0,0,4,2,1,3,3,0,0,0,149.0,27,1,7
1,0,1,1,1,1,9,0,12,3,4,0,0,1,179.0,27,11,4
1,0,3,1,1,0,9,1,13,3,4,1,1,0,149.0,19,12,4
0,0,3,1,1,1,7,0,1,2,3,1,1,2,119.0,17,6,4
0,0,3,2,0,1,9,0,10,3,3,0,0,0,149.0,26,14,7
1,0,3,1,0,0,9,0,8,3,3,1,0,1,179.0,29,11,4
2,0,1,1,0,0,9,1,11,3,3,0,0,1,179.0,29,14,4
2,0,0,1,1,1,6,1,5,2,3,0,0,0,149.0,27,12,7
2,0,3,1,0,1,4,0,11,2,4,0,0,0,149.0,29,10,4
1,0,1,1,1,1,9,0,8,2,2,1,1,0,149.0,31,10,4
0,0,3,1,0,0,4,0,5,3,3,0,0,0,149.0,27,10,4
1,0,3,0,1,0,9,2,8,3,4,0,0,1,179.0,31,14,4
0,0,1,1,1,1,7,0,1,3,4,1,1,0,149.0,30,14,4
1,0,3,3,0,0,4,2,0,4,3,0,0,2,119.0,29,0,4
2,0,1,2,1,1,7,0,11,3,4,1,1,0,149.0,29,0,4
1,0,3,0,0,1,7,0,12,3,4,1,0,2,119.0,25,10,4
1,1,1,3,0,0,4,2,5,3,3,0,0,4,,21,8,1
1,0,3,0,1,0,7,1,11,2,2,1,1,0,149.0,29,14,4
1,0,1,2,1,0,9,2,8,3,2,0,0,1,179.0,29,0,4
1,0,3,0,0,1,4,0,5,3,4,1,0,0,149.0,17,5,4
1,0,1,1,1,1,9,0,4,2,3,1,1,0,149.0,16,16,4
1,0,1,0,1,1,7,0,11,2,3,0,0,0,149.0,31,14,4
1,0,1,2,0,1,9,0,8,2,3,1,0,0,149.0,21,6,4
1,0,3,1,0,1,7,0,11,4,3,1,0,0,149.0,27,12,7
1,0,3,1,0,1,4,1,4,3,3,0,0,0,149.0,28,12,4
0,0,3,0,1,0,9,0,12,2,5,0,0,2,119.0,31,14,4
1,0,3,1,1,1,4,1,14,3,5,1,1,2,119.0,17,1,4
1,2,1,0,1,0,9,0,11,2,4,0,0,1,179.0,29,14,7
0,0,3,2,0,1,9,0,12,3,3,0,0,0,149.0,29,11,7
1,0,3,2,1,0,4,0,8,2,3,0,0,1,179.0,29,0,7
1,0,1,2,1,1,4,0,8,3,4,1,1,1,179.0,31,0,4
1,0,1,2,0,0,7,0,8,3,3,1,0,0,149.0,29,14,7
0,0,3,0,1,1,9,1,8,3,3,1,1,0,149.0,29,10,7
0,0,3,0,0,0,9,0,8,3,4,1,0,1,179.0,12,0,4
1,0,2,3,0,0,6,2,3,2,3,0,0,3,59.0,0,9,4
1,0,1,3,0,0,6,2,0,4,3,0,0,2,119.0,0,16,11
1,0,2,3,0,0,4,2,5,4,4,1,0,2,119.0,12,16,4
1,0,3,3,0,0,4,2,7,3,3,0,0,4,,0,10,11
1,0,0,3,0,0,9,1,4,3,3,0,0,4,,9,13,11
1,0,2,3,0,0,9,2,8,3,3,0,0,3,59.0,0,0,11
1,0,0,3,0,0,4,2,0,4,5,0,0,4,,29,10,1
1,0,3,3,0,0,4,2,5,5,3,1,0,3,59.0,17,13,4
1,1,2,3,0,0,6,2,0,3,4,1,0,3,59.0,15,13,11
1,0,2,3,0,0,4,1,0,4,3,1,0,2,119.0,12,16,11
1,0,1,3,0,0,6,1,11,3,3,0,0,2,119.0,12,0,11
1,0,3,3,0,0,4,2,5,1,3,1,0,2,119.0,12,7,0
1,0,3,1,0,0,4,2,1,4,3,0,0,4,,21,0,3
1,0,0,3,0,0,6,0,5,4,3,0,0,3,59.0,13,16,1
1,0,2,3,0,0,4,2,0,3,4,0,0,4,,16,10,11
1,0,1,3,0,0,4,2,0,4,3,0,0,2,119.0,0,13,1
1,1,2,3,0,0,7,2,11,4,5,1,0,2,119.0,0,1,4
1,0,2,3,0,0,9,2,0,4,4,0,0,2,119.0,31,16,1
1,0,2,3,0,0,4,2,0,3,3,0,0,4,,29,14,11
0,1,1,1,0,0,4,2,1,3,3,0,0,4,,26,0,11
1,0,2,1,0,0,2,2,6,3,3,0,0,0,149.0,18,10,4
1,0,0,3,1,0,4,0,0,5,3,1,1,2,119.0,20,12,1
1,0,2,3,0,0,6,2,6,5,4,0,0,3,59.0,13,16,11
1,0,2,1,0,0,6,2,4,4,3,0,0,2,119.0,5,13,10
1,0,2,3,0,0,6,2,0,4,3,0,0,3,59.0,29,0,4
1,0,2,3,0,0,4,2,0,3,3,1,0,4,,29,16,1
1,0,2,3,0,0,4,1,0,4,3,0,0,2,119.0,20,13,4
1,0,1,1,1,0,4,2,2,4,3,1,1,3,59.0,9,12,1
1,0,2,3,0,0,6,2,0,5,2,0,0,3,59.0,29,10,11
1,0,3,3,0,0,4,2,0,3,3,1,0,0,149.0,29,16,3
1,0,0,3,0,1,4,2,0,3,3,0,0,3,59.0,0,16,1
1,0,2,3,1,0,6,2,4,1,3,1,1,2,119.0,11,14,4
1,0,0,3,0,0,9,2,0,3,3,0,0,3,59.0,12,3,1
1,0,0,3,0,0,4,2,10,4,2,0,0,2,119.0,29,9,1
1,0,2,3,0,1,4,1,0,5,3,0,0,4,,29,7,4
1,0,3,3,0,0,4,0,0,5,3,0,0,4,,29,16,1
1,0,2,1,0,0,4,2,2,3,3,0,0,4,,3,4,5
1,0,2,1,0,0,4,2,3,4,3,0,0,3,59.0,13,10,1
1,0,0,3,0,0,6,2,6,4,3,0,0,4,,10,13,4
1,1,0,3,0,0,2,1,6,3,2,1,0,0,149.0,4,8,7
1,0,1,3,1,0,4,2,8,3,4,1,1,2,119.0,0,16,11
1,1,2,3,0,0,9,2,0,4,3,0,0,3,59.0,29,13,11
4,0,1,3,0,0,4,2,0,4,4,0,0,0,149.0,5,13,1
1,0,2,1,0,0,6,0,7,5,3,0,0,4,,6,13,11
1,1,2,3,0,0,6,2,3,5,4,0,0,4,,20,13,4
1,0,3,3,0,0,4,2,0,4,3,1,0,3,59.0,29,10,11
1,0,0,3,0,0,4,2,5,3,4,0,0,3,59.0,12,12,1
1,0,0,3,0,0,4,2,0,4,4,0,0,2,119.0,29,10,4
1,0,3,3,0,0,3,2,1,3,3,0,0,2,119.0,0,10,11
1,0,2,3,0,0,0,2,4,4,3,0,0,3,59.0,12,15,11
0,1,2,1,0,0,6,1,0,4,3,0,0,3,59.0,29,10,7
1,1,1,3,0,0,6,0,5,3,4,0,0,3,59.0,30,13,11
1,0,3,3,0,0,4,2,3,3,3,0,0,1,179.0,3,13,1
1,0,0,1,0,0,4,2,6,4,4,0,0,3,59.0,9,15,8
1,0,2,3,0,0,4,2,1,3,4,1,0,3,59.0,12,1,4
1,0,1,3,0,0,4,0,4,3,3,0,0,2,119.0,0,16,3
1,0,0,3,0,0,4,2,11,4,4,0,0,3,59.0,0,0,4
1,0,1,3,0,0,6,2,4,3,4,0,0,4,,12,13,11
1,0,2,1,0,0,4,2,6,5,5,1,0,1,179.0,13,12,4
1,0,1,3,0,0,4,2,0,5,3,0,0,2,119.0,29,16,4
1,1,2,2,0,0,4,2,0,3,1,1,0,3,59.0,0,16,11
1,0,2,3,1,0,6,2,6,3,3,1,1,2,119.0,4,10,4
1,0,1,1,0,0,4,2,4,4,4,1,0,3,59.0,29,0,1
0,0,0,3,0,0,6,2,6,5,4,0,0,3,59.0,10,10,11
1,0,2,3,0,0,4,0,0,3,3,0,0,4,,16,10,1
1,0,2,1,0,0,7,2,6,5,3,0,0,3,59.0,4,2,11
1,0,0,3,0,0,4,2,0,3,3,1,0,2,119.0,4,10,4
1,0,2,1,0,0,4,2,0,1,3,0,0,3,59.0,12,0,11
1,0,2,4,0,0,4,2,11,4,3,0,0,3,59.0,29,10,3
1,0,2,3,0,0,4,1,11,3,4,0,0,3,59.0,0,13,4
1,0,2,3,0,0,6,2,0,1,3,0,0,3,59.0,29,16,11
1,0,1,3,0,0,2,2,10,2,3,0,0,4,,31,0,11
1,0,1,1,0,0,4,2,6,4,3,1,0,0,149.0,4,7,11
1,0,2,3,1,0,4,2,0,4,3,1,1,2,119.0,5,0,4
1,0,0,3,0,0,4,2,5,4,3,0,0,3,59.0,2,4,4
0,0,2,1,0,0,4,2,4,3,3,0,0,4,,0,4,4
1,0,0,3,0,0,4,2,0,5,4,0,0,4,,12,16,3
1,0,0,3,0,0,4,2,8,4,3,0,0,3,59.0,20,0,3
1,1,2,1,0,0,0,2,14,4,3,0,0,3,59.0,0,13,1
1,0,1,3,0,0,4,2,6,5,4,1,0,0,149.0,9,13,11
1,0,2,3,0,0,4,2,1,3,3,0,0,4,,0,16,1
1,1,1,3,0,0,4,0,0,3,3,0,0,3,59.0,29,16,7
1,0,1,1,0,0,4,2,4,4,3,0,0,4,,30,4,1
1,0,0,3,0,0,4,0,0,3,3,0,0,4,,29,10,11
1,1,0,1,0,0,4,2,6,3,3,0,0,2,119.0,0,16,11
1,0,0,3,0,1,9,0,11,4,3,0,0,0,149.0,29,13,4
1,0,2,3,0,0,4,0,0,3,3,1,0,1,179.0,2,14,11
1,0,1,3,0,0,2,2,0,4,3,0,0,2,119.0,0,13,11
1,1,2,3,0,0,4,2,5,4,3,0,0,3,59.0,6,13,11
0,0,1,3,0,0,4,2,8,3,3,1,0,3,59.0,12,16,1
0,0,3,3,0,0,7,1,0,5,5,0,0,3,59.0,29,16,4
1,0,2,3,1,0,7,2,10,4,3,1,1,2,119.0,0,16,11
1,0,0,1,0,0,4,2,0,4,4,0,0,3,59.0,29,10,4
1,0,3,3,0,0,4,0,11,5,5,0,0,4,,31,10,1
2,1,3,3,0,0,4,2,0,5,5,0,0,2,119.0,29,14,1
1,0,3,3,0,0,4,2,1,3,3,0,0,4,,30,16,11
1,0,0,3,0,0,4,1,0,4,4,1,0,3,59.0,12,13,11
1,0,3,3,0,0,2,2,0,4,5,0,0,4,,12,16,4
1,0,3,3,0,0,4,2,0,4,4,0,0,3,59.0,13,13,4
1,0,0,3,0,0,4,2,8,3,4,1,0,0,149.0,29,16,11
1,0,0,3,0,0,4,2,0,1,1,0,0,2,119.0,0,16,11
1,0,3,3,0,0,4,0,0,3,3,0,0,4,,5,13,11
1,0,0,3,0,0,4,2,0,3,3,0,0,3,59.0,29,16,1
1,1,2,1,1,0,6,2,7,5,4,1,1,2,119.0,12,3,1
1,0,2,3,0,0,6,2,0,4,3,0,0,3,59.0,14,10,11
1,0,2,0,0,0,6,2,8,4,3,0,0,3,59.0,14,0,11
1,0,3,3,0,0,4,2,0,5,4,0,0,2,119.0,29,16,11
0,0,1,3,0,0,4,2,0,5,3,1,0,3,59.0,11,13,11
1,1,1,3,1,1,4,2,0,4,5,1,1,3,59.0,12,4,4
1,0,2,3,0,0,4,2,8,4,3,1,0,0,149.0,29,0,4
1,0,2,3,0,0,4,2,6,5,4,0,0,0,149.0,12,4,3
1,0,2,3,0,0,4,1,0,3,3,0,0,3,59.0,25,10,11
1,0,1,3,1,0,4,2,7,4,3,1,1,2,119.0,13,16,4
1,0,0,3,0,0,6,2,3,3,3,0,0,4,,0,16,1
1,0,3,3,0,0,4,2,0,3,3,0,0,3,59.0,12,7,7
1,0,0,3,0,0,4,2,0,3,4,0,0,4,,29,16,7
1,0,0,3,0,1,4,2,0,3,3,0,0,3,59.0,0,16,1
1,1,1,3,0,0,4,2,4,2,4,0,0,0,149.0,12,10,1
1,0,0,3,0,0,4,1,0,3,3,0,0,4,,0,13,11
1,0,1,1,0,0,4,0,3,4,3,0,0,0,149.0,20,16,11
1,1,0,3,0,0,6,2,7,4,4,0,0,3,59.0,13,16,1
1,0,2,1,0,0,6,1,6,3,3,0,0,2,119.0,13,0,11
1,0,2,3,1,0,4,2,5,4,3,1,1,2,119.0,13,4,4
1,0,2,3,0,0,6,2,2,4,4,1,0,1,179.0,13,13,4
1,0,2,1,0,0,6,2,5,4,3,0,0,4,,2,16,11
1,0,3,3,0,0,4,2,3,4,3,0,0,4,,0,10,3
1,0,1,3,0,0,4,2,0,4,4,0,0,4,,0,10,4
1,0,3,3,0,0,4,2,0,3,3,0,0,4,,2,10,11
1,1,1,3,1,0,8,1,4,3,2,1,1,3,59.0,13,10,11
1,0,2,3,0,0,6,2,1,4,4,0,0,3,59.0,13,13,1
1,0,0,1,0,0,4,0,0,3,3,0,0,4,,0,0,11
1,0,2,1,0,0,2,2,4,5,4,1,0,2,119.0,0,16,4
1,0,3,3,0,0,4,2,0,5,4,0,0,1,179.0,5,7,6
1,0,2,3,0,0,1,2,0,3,3,0,0,4,,0,0,11
1,0,2,1,0,0,4,2,6,5,4,0,0,4,,13,13,1
1,0,2,3,0,0,4,2,0,4,4,1,0,1,179.0,0,10,4
1,0,2,3,0,0,4,2,0,4,3,0,0,3,59.0,29,13,4
1,0,2,3,0,0,4,2,1,4,3,0,0,4,,0,13,4
1,1,2,3,0,0,9,2,0,4,3,0,0,1,179.0,20,10,1
1,1,2,1,0,0,9,2,1,4,5,1,0,3,59.0,0,0,11
1,0,2,3,0,0,4,2,0,4,3,0,0,3,59.0,13,10,11
1,0,1,1,1,0,6,2,1,4,4,1,1,2,119.0,13,16,4
1,0,1,3,0,0,4,1,0,3,4,0,0,4,,0,16,4
0,2,1,0,0,1,7,2,8,2,2,1,0,0,149.0,0,0,4
0,0,1,0,1,0,9,1,0,2,3,0,0,2,119.0,25,10,4
0,0,3,2,1,1,7,0,8,2,4,1,1,2,119.0,26,10,1
0,0,3,0,1,0,7,0,8,2,4,0,0,0,149.0,29,14,7
1,0,1,0,0,1,7,0,11,4,4,1,0,1,179.0,29,14,4
1,0,1,2,1,1,7,0,8,2,5,1,1,2,119.0,29,14,4
1,2,1,2,0,1,7,0,8,2,3,0,0,0,149.0,29,14,4
1,0,2,0,0,0,9,0,8,3,3,1,0,2,119.0,29,14,7
1,0,3,2,0,1,7,1,11,2,3,1,0,1,179.0,29,14,4
2,0,3,2,0,0,7,0,8,3,2,0,0,0,149.0,29,0,4
2,0,3,0,0,1,7,0,8,3,4,1,0,2,119.0,28,11,7
1,2,3,2,1,0,7,2,11,3,5,1,1,2,119.0,25,10,4
1,0,1,4,1,0,2,0,8,3,4,1,1,2,119.0,31,14,7
0,0,3,2,1,1,7,0,8,3,4,1,1,2,119.0,31,14,7
2,0,3,0,1,1,4,1,11,4,3,0,0,1,179.0,31,14,4
1,0,0,0,1,0,9,0,11,2,3,0,0,0,149.0,31,0,7
1,0,3,2,0,1,9,1,11,3,3,0,0,0,149.0,8,2,4
1,1,3,0,1,1,9,0,11,3,3,0,0,1,179.0,29,14,4
1,0,1,1,0,1,7,0,8,3,3,0,0,1,179.0,26,10,7
0,1,3,0,0,1,9,0,8,3,3,1,0,0,149.0,31,5,7
1,2,3,2,0,0,7,0,1,3,3,1,0,0,149.0,9,6,4
1,0,1,0,0,1,9,2,12,3,4,1,0,0,149.0,9,14,7
0,0,1,1,1,0,7,0,14,2,3,0,0,0,149.0,19,2,4
0,0,1,1,1,1,4,2,8,3,3,1,1,1,179.0,25,14,1
0,0,1,0,0,1,4,0,11,3,5,1,0,1,179.0,31,14,7
1,1,3,2,0,0,4,0,0,2,3,0,0,0,149.0,29,11,1
1,0,1,1,0,1,9,0,1,4,2,1,0,1,179.0,21,6,4
1,0,1,3,1,0,4,0,8,3,3,1,1,1,179.0,0,0,7
3,2,2,0,0,0,7,1,10,3,4,0,0,2,119.0,25,14,7
0,1,2,1,0,1,9,0,14,4,5,0,0,0,149.0,29,10,7
3,2,1,0,1,1,9,0,11,4,3,0,0,0,149.0,31,10,7
1,0,1,2,0,1,7,0,8,4,4,1,0,2,119.0,0,10,1
1,1,3,0,0,1,9,0,11,3,3,1,0,2,119.0,25,16,4
1,1,1,2,1,1,7,0,8,4,4,1,1,3,59.0,29,14,7
1,0,3,0,0,1,9,0,8,3,4,0,0,0,149.0,28,14,4
1,0,3,0,0,0,7,0,10,3,4,1,0,1,179.0,29,10,4
1,0,3,3,1,1,7,0,11,4,4,1,1,0,149.0,20,4,7
0,1,3,2,0,1,9,0,0,3,1,1,0,0,149.0,12,14,7
0,0,3,0,1,0,6,0,8,3,3,0,0,4,,29,0,4
0,2,1,2,0,0,9,0,11,3,4,0,0,0,149.0,25,14,4
0,1,2,2,1,1,9,0,0,3,5,1,1,3,59.0,25,10,4
1,0,1,4,0,1,9,1,11,3,4,1,0,0,149.0,20,15,4
1,1,0,2,1,0,9,1,11,4,4,1,1,0,149.0,31,10,4
1,0,0,0,0,1,9,1,11,3,3,0,0,0,149.0,17,11,4
0,0,3,4,1,1,7,1,0,2,3,1,1,0,149.0,29,10,7
1,0,2,3,0,0,4,2,1,4,3,0,0,4,,8,7,4
1,1,2,3,1,0,4,2,6,5,4,1,1,2,119.0,25,13,1
1,0,2,3,0,0,4,2,0,4,4,0,0,3,59.0,16,16,2
1,0,2,3,0,0,4,2,1,4,4,1,0,2,119.0,30,7,5
1,0,2,1,0,0,3,2,4,4,3,0,0,4,,9,4,11
1,0,2,3,0,0,4,2,0,4,4,0,0,4,,29,13,11
1,0,2,1,0,0,6,1,12,5,3,1,0,3,59.0,29,16,4
1,0,2,1,0,0,6,2,6,2,3,1,0,3,59.0,13,0,1
1,0,2,3,0,0,6,2,0,3,3,0,0,3,59.0,0,16,11
1,0,3,3,1,0,4,2,4,2,4,1,1,2,119.0,14,7,1
1,0,2,1,1,0,6,2,1,3,3,1,1,3,59.0,3,11,11
